images_path,question,answer
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/fruit.jpg,這些釋迦被包裝在什麼保護材質中？,這些釋迦被包裹在黃色網狀泡沫保護套裡，以保護果實不受碰撞損傷。
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/fruit.jpg,這些水果的品種是什麼？,這些水果是Custard apple（釋迦）。
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/fruit.jpg,請問這裡有多少釋迦,五顆
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/IMG_5010.jpg,這盆植物大約有幾片葉子,6片
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/IMG_5010.jpg,它被種植在什麼樣的容器裡？,它們被種植在灰色混凝土花盆中。
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/IMG_5010.jpg,這張圖片裡是什麼植物？,天堂鳥（Strelitzia)，又名： 鶴望蘭、極樂鳥花 – 多年生草本植物
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/IMG_5172-e1622379858920.jpg,這張圖片裡總共有幾杯手搖飲？,7杯
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/IMG_5172-e1622379858920.jpg,飲料旁邊擺放了哪些水果？,葡萄和奇異果
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/IMG_5172-e1622379858920.jpg,飲料旁邊百放了幾盆盆栽？,兩盆
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/G08_DSC09816-1024x653.jpg,這張圖片中苦瓜有多少個?,7個
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/G08_DSC09816-1024x653.jpg,這張圖片中有幾條的絲瓜?,2條
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/G08_DSC09816-1024x653.jpg,這張圖片張有幾個大頭菜？,2個
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/241101-30329-21-UYBvs.jpg,圖片中有多少條麵包,14條
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/241101-30329-21-UYBvs.jpg,圖片中有多少種不同造型的麵包,10種
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/241101-30329-21-UYBvs.jpg,這些麵包是放在哪裡,這些麵包看似都放在金屬烘焙冷卻網架上
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/30b9cbbdbb16ff263fe64bddb7c95491.jpeg,這張圖片中一共有幾盒雞蛋？,4盒
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/G05_2024_121436-1024x683.jpg,這張圖片中有幾朵的花椰菜,15朵
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/G05_2024_121436-1024x683.jpg,這些花椰菜被擺放在哪種容器裡？,它們被種植在保麗龍箱中中。
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/izakaya_201704_N_01.jpg,圖片中有幾種不同的冷凍食品,5種
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/izakaya_201704_N_01.jpg,這些商品被陳列在哪種貨架？,冷凍櫃
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/izakaya_201704_N_01.jpg,圖中標示的促銷價格是多少？,158円、300円、171円、324円
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/GetImg.jpeg,這張圖有多少種不同口味的泡麵,7種
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/GetImg.jpeg,這裡有多少品牌的泡麵,兩種
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/GetImg.jpeg,哪一種泡麵看起來比較大碗,從外包裝來看阿Q統一麵看起來比較大碗
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/shose.jpeg,正面商品架上有多少盤已經切好的水果?,10盤
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/2018-05-14.jpg,正面商品架上已經切好的水果有幾盤是西瓜?,2盤
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/2018-05-14.jpg,圖中有多少條木瓜?,10條
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/shose.jpeg,圖中有多少雙鞋?,36雙
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/R.jpg,圖中共有多少瓶裝咖啡豆的瓶子?,18瓶
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/R.jpg,圖中有多少櫃子放了咖啡豆?,3個
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/tu-bao-quan-banh-kem-1m8-kinh-cong.jpg,圖中共有幾塊蛋糕?,15塊
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/tu-bao-quan-banh-kem-1m8-kinh-cong.jpg,圖中共有幾塊被切分的小蛋糕?,6塊
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/tw-11134201-23030-sola1bbtf5nvd3.jpg,圖中共有幾瓶香水?,13瓶
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/tw-11134201-23030-sola1bbtf5nvd3.jpg,圖中共有多少瓶香水的顏色是黃色的?,2瓶
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/tw-11134201-23030-sola1bbtf5nvd3.jpg,圖中香水被擺放在甚麼容器中?,它們被種植在玻璃展示櫃中。
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/VZ_VZ110SDUG_6.jpg,圖中的瓶子裝是甚麼?,紅酒瓶
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/VZ_VZ110SDUG_6.jpg,圖中有多少個紅酒瓶?,22瓶
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/VZ_VZ110SDUG_6.jpg,圖中這些紅酒瓶方志再甚麼地方?,酒櫃
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/1636884395978-1024x768.jpg,圖中的冷凍肉品有幾盒?,20盒
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/1636884395978-1024x768.jpg,圖中的商品被陳列在哪種貨架?,冷凍櫃
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/49321945131_2c115a871f_o.jpg,圖中有多少種類的滷味食材?,11種
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/49321945131_2c115a871f_o.jpg,圖中有多少塊雞翅?,4塊
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/49321945131_2c115a871f_o.jpg,圖中非肉類食材有幾種?,3種
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/49321945131_2c115a871f_o.jpg,圖中有幾塊大豆干?幾塊小豆干?,6塊、9塊
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/49321945131_2c115a871f_o.jpg,圖中海帶共有幾卷?,6卷
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/49321945131_2c115a871f_o.jpg,圖中食材被甚麼容器裝著?,它們被種植在銀色鐵盤中。
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/2895640.jpg,圖中有多少種口味的義美小泡芙?,2種
uploads/1ecc95fe-ecbe-4c55-bc95-8b7bcace0383/images/2895640.jpg,圖中的泡芙有哪些口味?,牛奶與草莓
